"Characteristic","CNB","3T","7T"
"n","121","102","27"
"Female","92 (76%)","77 (75.5%)","21 (77.8%)"
"Age (mean [SD])","43.0 [11.0]","42.1 [11.0]","38.8 [12.5]"
"Education Level in Years (mean [SD])","16.3 [2.4]","16.4 [2.4]","16.2 [2.4]"
"On DMT","107 (88.4%)","91 (89.2%)","25 (92.6%)"
